8048047   20.8125  23.8125  27.1250  31.0000  35.2500  42.0625  48.1875  55.3125 36322 38941 1
8049020   20.8125  23.8125  27.1875  31.0625  35.3125  42.1250  48.3125  55.4375 36322 38941 1
8050044   20.8125  23.8125  27.1875  31.0625  35.3750  42.1875  48.4375  55.5625 36322 38941 1
8051017   20.8125  23.8125  27.1875  31.1250  35.5000  42.2500  48.5625  55.6875 36322 38941 1
8052040   20.8125  23.8125  27.2500  31.1875  35.5625  42.3750  48.6875  55.7500 36322 38941 1
8053014   20.8125  23.8125  27.2500  31.1875  35.6250  42.4375  48.8125  55.8750 36322 38941 1
8054037   20.8125  23.8750  27.2500  31.2500  35.6875  42.5000  48.8750  55.9375 36322 38941 1
8055010   20.8125  23.8125  27.3125  31.3125  35.7500  42.5625  49.0000  56.0000 36322 38941 1
8056034   20.7500  23.8750  27.3125  31.3125  35.7500  42.6250  49.0625  56.1250 36322 38941 1
8057007   20.8125  23.8750  27.3125  31.3750  35.8125  42.7500  49.1250  56.1875 36322 38941 1
8058030   20.7500  23.8750  27.3750  31.3750  35.8750  42.7500  49.1875  56.2500 36322 38941 1
8059004   20.7500  23.8750  27.3750  31.4375  35.9375  42.8750  49.2500  56.3125 36322 38941 1
8060027   20.7500  23.8750  27.3750  31.5000  36.0000  42.9375  49.3750  56.4375 36322 38941 1
8061050   20.7500  23.9375  27.3750  31.5000  36.1250  43.0000  49.5000  56.5000 36322 38941 1
8062024   20.7500  23.9375  27.4375  31.5625  36.1875  43.0625  49.5625  56.5625 36322 38941 1
8063047   20.8125  23.9375  27.4375  31.6250  36.1875  43.1875  49.6875  56.6875 36322 38941 1
8064020   20.8125  23.9375  27.4375  31.6875  36.2500  43.2500  49.7500  56.8750 36322 38941 1
8065044   20.7500  23.9375  27.5000  31.6875  36.3125  43.3125  49.8125  56.9375 36322 38941 1
8066017   20.7500  24.0000  27.5000  31.7500  36.3750  43.4375  49.8750  57.0625 36322 38941 1
8067040   20.7500  24.0000  27.5625  31.7500  36.4375  43.5000  50.0000  57.1875 36322 38941 1
8068014   20.8125  24.0000  27.5625  31.8125  36.5000  43.5625  50.0625  57.2500 36322 38941 1
8069037   20.8125  24.0000  27.5625  31.8750  36.5625  43.6875  50.1250  57.3750 36322 38941 1
8070010   20.8125  24.0000  27.5625  31.9375  36.6250  43.6875  50.2500  57.4375 36322 38941 1
8071034   20.8125  24.0000  27.6250  32.0000  36.6875  43.7500  50.3125  57.5625 36322 38941 1
8072007   20.8125  24.0625  27.6250  32.0000  36.6875  43.8125  50.3125  57.5625 36322 38941 1
8073030   20.8125  24.0625  27.6250  32.0000  36.7500  43.8750  50.4375  57.7500 36322 38941 1
8074004   20.7500  24.0625  27.6875  32.0625  36.8125  44.0000  50.5625  57.8125 36322 38941 1
8075027   20.8125  24.0625  27.7500  32.1250  36.8750  44.0625  50.6250  57.8750 36322 38941 1
